statcode,distance
GM0060,2 to 3km
GM0074,2 to 3km
GM0098,2 to 3km
GM0141,2 to 3km
GM0163,2 to 3km
GM0175,2 to 3km
GM0183,2 to 3km
GM0189,2 to 3km
GM0222,2 to 3km
GM0228,2 to 3km
GM0232,2 to 3km
GM0269,2 to 3km
GM0273,2 to 3km
GM0293,2 to 3km
GM0296,2 to 3km
GM0308,2 to 3km
GM0313,2 to 3km
GM0317,2 to 3km
GM0331,2 to 3km
GM0352,2 to 3km
GM0356,2 to 3km
GM0358,2 to 3km
GM0370,2 to 3km
GM0383,2 to 3km
GM0384,2 to 3km
GM0392,2 to 3km
GM0394,2 to 3km
GM0415,2 to 3km
GM0416,2 to 3km
GM0420,2 to 3km
GM0431,2 to 3km
GM0432,2 to 3km
GM0448,2 to 3km
GM0482,2 to 3km
GM0498,2 to 3km
GM0513,2 to 3km
GM0523,2 to 3km
GM0542,2 to 3km
GM0569,2 to 3km
GM0606,2 to 3km
GM0703,2 to 3km
GM0718,2 to 3km
GM0743,2 to 3km
GM0748,2 to 3km
GM0755,2 to 3km
GM0765,2 to 3km
GM0770,2 to 3km
GM0779,2 to 3km
GM0809,2 to 3km
GM0815,2 to 3km
GM0820,2 to 3km
GM0828,2 to 3km
GM0840,2 to 3km
GM0845,2 to 3km
GM0847,2 to 3km
GM0852,2 to 3km
GM0861,2 to 3km
GM0866,2 to 3km
GM0888,2 to 3km
GM0893,2 to 3km
GM0907,2 to 3km
GM0917,2 to 3km
GM0928,2 to 3km
GM0938,2 to 3km
GM0944,2 to 3km
GM0946,2 to 3km
GM0971,2 to 3km
GM0984,2 to 3km
GM1586,2 to 3km
GM1659,2 to 3km
GM1674,2 to 3km
GM1699,2 to 3km
GM1705,2 to 3km
GM1731,2 to 3km
GM1771,2 to 3km
GM1859,2 to 3km
GM1904,2 to 3km
GM1926,2 to 3km
GM1930,2 to 3km
GM0114,3 to 4km
GM0171,3 to 4km
GM0203,3 to 4km
GM0213,3 to 4km
GM0246,3 to 4km
GM0274,3 to 4km
GM0299,3 to 4km
GM0303,3 to 4km
GM0342,3 to 4km
GM0385,3 to 4km
GM0450,3 to 4km
GM0453,3 to 4km
GM0457,3 to 4km
GM0484,3 to 4km
GM0503,3 to 4km
GM0530,3 to 4km
GM0556,3 to 4km
GM0597,3 to 4km
GM0599,3 to 4km
GM0629,3 to 4km
GM0737,3 to 4km
GM0756,3 to 4km
GM0794,3 to 4km
GM0797,3 to 4km
GM0823,3 to 4km
GM0824,3 to 4km
GM0858,3 to 4km
GM0865,3 to 4km
GM0873,3 to 4km
GM0879,3 to 4km
GM0880,3 to 4km
GM0983,3 to 4km
GM0986,3 to 4km
GM0994,3 to 4km
GM1507,3 to 4km
GM1581,3 to 4km
GM1652,3 to 4km
GM1655,3 to 4km
GM1684,3 to 4km
GM1690,3 to 4km
GM1696,3 to 4km
GM1729,3 to 4km
GM1735,3 to 4km
GM1740,3 to 4km
GM1783,3 to 4km
GM1892,3 to 4km
GM1900,3 to 4km
GM1931,3 to 4km
GM1940,3 to 4km
GM1952,3 to 4km
GM1959,3 to 4km
GM1961,3 to 4km
GM0086,4 to 5km
GM0109,4 to 5km
GM0209,4 to 5km
GM0263,4 to 5km
GM0312,4 to 5km
GM0327,4 to 5km
GM0589,4 to 5km
GM0613,4 to 5km
GM0638,4 to 5km
GM0677,4 to 5km
GM0716,4 to 5km
GM0717,4 to 5km
GM0744,4 to 5km
GM0762,4 to 5km
GM0784,4 to 5km
GM0826,4 to 5km
GM0851,4 to 5km
GM0899,4 to 5km
GM0957,4 to 5km
