type;destination_country;migrants;coordinates.1;coordinates.0
Point;American Samoa;-1;-14,3018;-170,7511
Point;Argentina;2061;-33,166;-64,31
Point;Aruba;188;12,5176;-69,9818
Point;Australia;281682;-24,578;133,582
Point;Austria;2681;47,65;14,705
Point;Bangladesh;-633;24,598;90,1963
Point;Belgium;5827;50,6745;4,4588
Point;Belize;586;17,108;-88,744
Point;Bhutan;91;27,5342;90,3002
Point;Bolivia;286;-16,71;-65,183
Point;Botswana;666;-22,126;23,662
Point;Brazil;5400;-11,694;-48,978
Point;Brunei Darussalam;226;4,452;114,557
Point;Bulgaria;770;42,625;24,521
Point;Cambodia;-55;12,69;104,444
Point;Canada;87200;59,2067;-111,1937
Point;Chile;10713;-23,176;-69,201
Point;Colombia;-48;3,794;-73,606
Point;Congo;222;0,509;16,08
Point;Curaçao;118;12,2129;-69,0407
Point;Cyprus;-88;34,894;32,928
Point;Czechia;2062;49,848;15,2812
Point;Denmark;4248;56,113;9,096
Point;Dominican Republic;2529;19,01;-70,1685
Point;Ecuador;748;-1,151;-78,308
Point;Egypt;51;26,16;28,742
Point;Fiji;48;-17,7941;177,9783
Point;Finland;5023;62,716;26,192
Point;France;22555;46,656;2,543
Point;French Guiana;615;3,9351;-53,0359
Point;French Polynesia;-33;-17,529;-149,53
Point;Germany;60447;51,3819;9,9877
Point;Greece;-134;39,787;21,617
Point;Guam;142;13,45;144,7579
Point;Guatemala;134;15,124;-90,711
Point;Guyana;66;5,17;-58,939
Point;Honduras;183;14,881;-87,123
Point;Hong Kong;148402;22,4114;114,0599
Point;Hungary;6590;47,174;19,618
Point;Iceland;264;64,826;-18,417
Point;India;8005;22,741;78,236
Point;Indonesia;10721;-0,739;114,045
Point;Ireland;2126;53,214;-7,588
Point;Israel;-1;30,992;34,834
Point;Italy;38661;44,3713;11,1084
Point;Japan;88737;35,962;137,855
Point;Jordan;3476;30,681;36,279
Point;Kazakhstan;241;48,866;69,772
Point;Lao PDR;6228;19,595;102,538
Point;Lebanon;-731;34,161;36,021
Point;Libya;543;27,24;17,571
Point;Luxembourg;3604;49,671;6,113
Point;Macao;49367;22,1404;113,5643
Point;Madagascar;409;-19,615;46,645
Point;Malaysia;2718;4,416;102,099
Point;Mali;1240;18,211;-2,209
Point;Malta;784;35,9024;14,4137
Point;Mauritius;417;-20,2529;57,5902
Point;Mexico;2432;22,925;-101,68
Point;Mongolia;2873;46,516;102,564
Point;Myanmar;22;21,841;96,05
Point;Namibia;146;-21,276;17,219
Point;Nepal;-1549;28,2114;83,5608
Point;Netherlands;20186;52,1704;5,0102
Point;New Zealand;59878;-42,558;172,377
Point;North Korea;3279;39,767;126,389
Point;Northern Mariana Islands;-280;15,1905;145,7471
Point;Norway;3756;61,3701;9,3031
Point;Panama;6485;8,348;-81,005
Point;Paraguay;44;-23,266;-58,409
Point;Peru;25440;-12,664;-72,98
Point;Philippines;2871;17,181;121,256
Point;Poland;329;52,442;19,72
Point;Portugal;2773;40,957;-7,9373
Point;Puerto Rico;-139;18,242;-66,643
Point;Romania;3849;45,933;25,119
Point;Russian Federation;1019;64,736;104,062
Point;Serbia;-8;44,021;20,699
Point;Seychelles;63;-4,6841;55,4924
Point;Singapore;60637;1,3389;103,8297
Point;Slovakia;400;48,8595;19,4434
Point;Slovenia;381;46,037;14,534
Point;South Africa;-3482;-31,7;23,441
Point;South Korea;312604;36,338;128,16
Point;Spain;24186;40,617;-3,388
Point;Sri Lanka;169;7,3;80,727
Point;Sudan;321;15,739;29,533
Point;Suriname;920;4,248;-55,848
Point;Sweden;13061;66,2188;19
Point;Switzerland;9862;46,7794;8,0329
Point;Thailand;8469;15,688;100,845
Point;Timor-Leste;-258;-8,856;125,556
Point;Togo;62;7,7;1,106
Point;Trinidad and Tobago;125;10,4435;-61,2604
Point;Turkey;679;39,144;34,188
Point;Ukraine;129;49,364;32,132
Point;United Kingdom;53033;52,289;-1,259
Point;United States;261160;40,0792;-98,8164
Point;Venezuela;207;6,983;-64,588
Point;Vietnam;727;21,75;105,373
Point;Zambia;234;-15,13;25,268
